report_id,group_id,description
89,23,عمود إنارة معطل في مدينة نصر
90,23,يوجد عمود إنارة معطل في مدينة نصر
91,23,بلاغ عن عمود إنارة معطل في مدينة نصر
92,23,تم رصد عمود إنارة معطل في مدينة نصر
93,24,طفح صرف صحي في عين شمس
94,24,يوجد طفح صرف صحي في عين شمس
95,24,بلاغ عن طفح صرف صحي في عين شمس
96,24,تم رصد طفح صرف صحي في عين شمس
97,25,إشارة مرور معطلة في جسر السويس
98,25,يوجد إشارة مرور معطلة في جسر السويس
99,25,بلاغ عن إشارة مرور معطلة في جسر السويس
100,25,تم رصد إشارة مرور معطلة في جسر السويس
101,26,تراكم قمامة في شارع النزهة
102,26,يوجد تراكم قمامة في شارع النزهة
103,26,بلاغ عن تراكم قمامة في شارع النزهة
104,26,تم رصد تراكم قمامة في شارع النزهة
105,27,بالوعة مفتوحة في شارع مكرم عبيد
106,27,يوجد بالوعة مفتوحة في شارع مكرم عبيد
107,27,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
108,27,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
109,28,تشققات بالطريق في شارع مصطفى النحاس
110,28,يوجد تشققات بالطريق في شارع مصطفى النحاس
111,28,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
112,28,تم رصد تشققات بالطريق في شارع مصطفى النحاس
113,29,عمود إنارة مائل في مدينة السلام
114,29,يوجد عمود إنارة مائل في مدينة السلام
115,29,بلاغ عن عمود إنارة مائل في مدينة السلام
116,29,تم رصد عمود إنارة مائل في مدينة السلام
117,30,تسرب غاز في المعادي
118,30,يوجد تسرب غاز في المعادي
119,30,بلاغ عن تسرب غاز في المعادي
120,30,تم رصد تسرب غاز في المعادي
121,31,حفرة في شارع عباس العقاد
122,31,يوجد حفرة في شارع عباس العقاد
123,31,بلاغ عن حفرة في شارع عباس العقاد
124,31,تم رصد حفرة في شارع عباس العقاد
125,32,كسر ماسورة مياه في شارع الطيران
126,32,يوجد كسر ماسورة مياه في شارع الطيران
127,32,بلاغ عن كسر ماسورة مياه في شارع الطيران
128,32,تم رصد كسر ماسورة مياه في شارع الطيران
129,33,عمود إنارة معطل في مدينة نصر
130,33,يوجد عمود إنارة معطل في مدينة نصر
131,33,بلاغ عن عمود إنارة معطل في مدينة نصر
132,33,تم رصد عمود إنارة معطل في مدينة نصر
133,34,طفح صرف صحي في عين شمس
134,34,يوجد طفح صرف صحي في عين شمس
135,34,بلاغ عن طفح صرف صحي في عين شمس
136,34,تم رصد طفح صرف صحي في عين شمس
137,35,إشارة مرور معطلة في جسر السويس
138,35,يوجد إشارة مرور معطلة في جسر السويس
139,35,بلاغ عن إشارة مرور معطلة في جسر السويس
140,35,تم رصد إشارة مرور معطلة في جسر السويس
141,36,تراكم قمامة في شارع النزهة
142,36,يوجد تراكم قمامة في شارع النزهة
143,36,بلاغ عن تراكم قمامة في شارع النزهة
144,36,تم رصد تراكم قمامة في شارع النزهة
145,37,بالوعة مفتوحة في شارع مكرم عبيد
146,37,يوجد بالوعة مفتوحة في شارع مكرم عبيد
147,37,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
148,37,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
149,38,تشققات بالطريق في شارع مصطفى النحاس
150,38,يوجد تشققات بالطريق في شارع مصطفى النحاس
151,38,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
152,38,تم رصد تشققات بالطريق في شارع مصطفى النحاس
153,39,عمود إنارة مائل في مدينة السلام
154,39,يوجد عمود إنارة مائل في مدينة السلام
155,39,بلاغ عن عمود إنارة مائل في مدينة السلام
156,39,تم رصد عمود إنارة مائل في مدينة السلام
157,40,تسرب غاز في المعادي
158,40,يوجد تسرب غاز في المعادي
159,40,بلاغ عن تسرب غاز في المعادي
160,40,تم رصد تسرب غاز في المعادي
161,41,حفرة في شارع عباس العقاد
162,41,يوجد حفرة في شارع عباس العقاد
163,41,بلاغ عن حفرة في شارع عباس العقاد
164,41,تم رصد حفرة في شارع عباس العقاد
165,42,كسر ماسورة مياه في شارع الطيران
166,42,يوجد كسر ماسورة مياه في شارع الطيران
167,42,بلاغ عن كسر ماسورة مياه في شارع الطيران
168,42,تم رصد كسر ماسورة مياه في شارع الطيران
169,43,عمود إنارة معطل في مدينة نصر
170,43,يوجد عمود إنارة معطل في مدينة نصر
171,43,بلاغ عن عمود إنارة معطل في مدينة نصر
172,43,تم رصد عمود إنارة معطل في مدينة نصر
173,44,طفح صرف صحي في عين شمس
174,44,يوجد طفح صرف صحي في عين شمس
175,44,بلاغ عن طفح صرف صحي في عين شمس
176,44,تم رصد طفح صرف صحي في عين شمس
177,45,إشارة مرور معطلة في جسر السويس
178,45,يوجد إشارة مرور معطلة في جسر السويس
179,45,بلاغ عن إشارة مرور معطلة في جسر السويس
180,45,تم رصد إشارة مرور معطلة في جسر السويس
181,46,تراكم قمامة في شارع النزهة
182,46,يوجد تراكم قمامة في شارع النزهة
183,46,بلاغ عن تراكم قمامة في شارع النزهة
184,46,تم رصد تراكم قمامة في شارع النزهة
185,47,بالوعة مفتوحة في شارع مكرم عبيد
186,47,يوجد بالوعة مفتوحة في شارع مكرم عبيد
187,47,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
188,47,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
189,48,تشققات بالطريق في شارع مصطفى النحاس
190,48,يوجد تشققات بالطريق في شارع مصطفى النحاس
191,48,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
192,48,تم رصد تشققات بالطريق في شارع مصطفى النحاس
193,49,عمود إنارة مائل في مدينة السلام
194,49,يوجد عمود إنارة مائل في مدينة السلام
195,49,بلاغ عن عمود إنارة مائل في مدينة السلام
196,49,تم رصد عمود إنارة مائل في مدينة السلام
197,50,تسرب غاز في المعادي
198,50,يوجد تسرب غاز في المعادي
199,50,بلاغ عن تسرب غاز في المعادي
200,50,تم رصد تسرب غاز في المعادي
201,51,حفرة في شارع عباس العقاد
202,51,يوجد حفرة في شارع عباس العقاد
203,51,بلاغ عن حفرة في شارع عباس العقاد
204,51,تم رصد حفرة في شارع عباس العقاد
205,52,كسر ماسورة مياه في شارع الطيران
206,52,يوجد كسر ماسورة مياه في شارع الطيران
207,52,بلاغ عن كسر ماسورة مياه في شارع الطيران
208,52,تم رصد كسر ماسورة مياه في شارع الطيران
209,53,عمود إنارة معطل في مدينة نصر
210,53,يوجد عمود إنارة معطل في مدينة نصر
211,53,بلاغ عن عمود إنارة معطل في مدينة نصر
212,53,تم رصد عمود إنارة معطل في مدينة نصر
213,54,طفح صرف صحي في عين شمس
214,54,يوجد طفح صرف صحي في عين شمس
215,54,بلاغ عن طفح صرف صحي في عين شمس
216,54,تم رصد طفح صرف صحي في عين شمس
217,55,إشارة مرور معطلة في جسر السويس
218,55,يوجد إشارة مرور معطلة في جسر السويس
219,55,بلاغ عن إشارة مرور معطلة في جسر السويس
220,55,تم رصد إشارة مرور معطلة في جسر السويس
221,56,تراكم قمامة في شارع النزهة
222,56,يوجد تراكم قمامة في شارع النزهة
223,56,بلاغ عن تراكم قمامة في شارع النزهة
224,56,تم رصد تراكم قمامة في شارع النزهة
225,57,بالوعة مفتوحة في شارع مكرم عبيد
226,57,يوجد بالوعة مفتوحة في شارع مكرم عبيد
227,57,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
228,57,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
229,58,تشققات بالطريق في شارع مصطفى النحاس
230,58,يوجد تشققات بالطريق في شارع مصطفى النحاس
231,58,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
232,58,تم رصد تشققات بالطريق في شارع مصطفى النحاس
233,59,عمود إنارة مائل في مدينة السلام
234,59,يوجد عمود إنارة مائل في مدينة السلام
235,59,بلاغ عن عمود إنارة مائل في مدينة السلام
236,59,تم رصد عمود إنارة مائل في مدينة السلام
237,60,تسرب غاز في المعادي
238,60,يوجد تسرب غاز في المعادي
239,60,بلاغ عن تسرب غاز في المعادي
240,60,تم رصد تسرب غاز في المعادي
241,61,حفرة في شارع عباس العقاد
242,61,يوجد حفرة في شارع عباس العقاد
243,61,بلاغ عن حفرة في شارع عباس العقاد
244,61,تم رصد حفرة في شارع عباس العقاد
245,62,كسر ماسورة مياه في شارع الطيران
246,62,يوجد كسر ماسورة مياه في شارع الطيران
247,62,بلاغ عن كسر ماسورة مياه في شارع الطيران
248,62,تم رصد كسر ماسورة مياه في شارع الطيران
249,63,عمود إنارة معطل في مدينة نصر
250,63,يوجد عمود إنارة معطل في مدينة نصر
251,63,بلاغ عن عمود إنارة معطل في مدينة نصر
252,63,تم رصد عمود إنارة معطل في مدينة نصر
253,64,طفح صرف صحي في عين شمس
254,64,يوجد طفح صرف صحي في عين شمس
255,64,بلاغ عن طفح صرف صحي في عين شمس
256,64,تم رصد طفح صرف صحي في عين شمس
257,65,إشارة مرور معطلة في جسر السويس
258,65,يوجد إشارة مرور معطلة في جسر السويس
259,65,بلاغ عن إشارة مرور معطلة في جسر السويس
260,65,تم رصد إشارة مرور معطلة في جسر السويس
261,66,تراكم قمامة في شارع النزهة
262,66,يوجد تراكم قمامة في شارع النزهة
263,66,بلاغ عن تراكم قمامة في شارع النزهة
264,66,تم رصد تراكم قمامة في شارع النزهة
265,67,بالوعة مفتوحة في شارع مكرم عبيد
266,67,يوجد بالوعة مفتوحة في شارع مكرم عبيد
267,67,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
268,67,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
269,68,تشققات بالطريق في شارع مصطفى النحاس
270,68,يوجد تشققات بالطريق في شارع مصطفى النحاس
271,68,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
272,68,تم رصد تشققات بالطريق في شارع مصطفى النحاس
273,69,عمود إنارة مائل في مدينة السلام
274,69,يوجد عمود إنارة مائل في مدينة السلام
275,69,بلاغ عن عمود إنارة مائل في مدينة السلام
276,69,تم رصد عمود إنارة مائل في مدينة السلام
277,70,تسرب غاز في المعادي
278,70,يوجد تسرب غاز في المعادي
279,70,بلاغ عن تسرب غاز في المعادي
280,70,تم رصد تسرب غاز في المعادي
281,71,حفرة في شارع عباس العقاد
282,71,يوجد حفرة في شارع عباس العقاد
283,71,بلاغ عن حفرة في شارع عباس العقاد
284,71,تم رصد حفرة في شارع عباس العقاد
285,72,كسر ماسورة مياه في شارع الطيران
286,72,يوجد كسر ماسورة مياه في شارع الطيران
287,72,بلاغ عن كسر ماسورة مياه في شارع الطيران
288,72,تم رصد كسر ماسورة مياه في شارع الطيران
289,73,عمود إنارة معطل في مدينة نصر
290,73,يوجد عمود إنارة معطل في مدينة نصر
291,73,بلاغ عن عمود إنارة معطل في مدينة نصر
292,73,تم رصد عمود إنارة معطل في مدينة نصر
293,74,طفح صرف صحي في عين شمس
294,74,يوجد طفح صرف صحي في عين شمس
295,74,بلاغ عن طفح صرف صحي في عين شمس
296,74,تم رصد طفح صرف صحي في عين شمس
297,75,إشارة مرور معطلة في جسر السويس
298,75,يوجد إشارة مرور معطلة في جسر السويس
299,75,بلاغ عن إشارة مرور معطلة في جسر السويس
300,75,تم رصد إشارة مرور معطلة في جسر السويس
301,76,تراكم قمامة في شارع النزهة
302,76,يوجد تراكم قمامة في شارع النزهة
303,76,بلاغ عن تراكم قمامة في شارع النزهة
304,76,تم رصد تراكم قمامة في شارع النزهة
305,77,بالوعة مفتوحة في شارع مكرم عبيد
306,77,يوجد بالوعة مفتوحة في شارع مكرم عبيد
307,77,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
308,77,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
309,78,تشققات بالطريق في شارع مصطفى النحاس
310,78,يوجد تشققات بالطريق في شارع مصطفى النحاس
311,78,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
312,78,تم رصد تشققات بالطريق في شارع مصطفى النحاس
313,79,عمود إنارة مائل في مدينة السلام
314,79,يوجد عمود إنارة مائل في مدينة السلام
315,79,بلاغ عن عمود إنارة مائل في مدينة السلام
316,79,تم رصد عمود إنارة مائل في مدينة السلام
317,80,تسرب غاز في المعادي
318,80,يوجد تسرب غاز في المعادي
319,80,بلاغ عن تسرب غاز في المعادي
320,80,تم رصد تسرب غاز في المعادي
321,81,حفرة في شارع عباس العقاد
322,81,يوجد حفرة في شارع عباس العقاد
323,81,بلاغ عن حفرة في شارع عباس العقاد
324,81,تم رصد حفرة في شارع عباس العقاد
325,82,كسر ماسورة مياه في شارع الطيران
326,82,يوجد كسر ماسورة مياه في شارع الطيران
327,82,بلاغ عن كسر ماسورة مياه في شارع الطيران
328,82,تم رصد كسر ماسورة مياه في شارع الطيران
329,83,عمود إنارة معطل في مدينة نصر
330,83,يوجد عمود إنارة معطل في مدينة نصر
331,83,بلاغ عن عمود إنارة معطل في مدينة نصر
332,83,تم رصد عمود إنارة معطل في مدينة نصر
333,84,طفح صرف صحي في عين شمس
334,84,يوجد طفح صرف صحي في عين شمس
335,84,بلاغ عن طفح صرف صحي في عين شمس
336,84,تم رصد طفح صرف صحي في عين شمس
337,85,إشارة مرور معطلة في جسر السويس
338,85,يوجد إشارة مرور معطلة في جسر السويس
339,85,بلاغ عن إشارة مرور معطلة في جسر السويس
340,85,تم رصد إشارة مرور معطلة في جسر السويس
341,86,تراكم قمامة في شارع النزهة
342,86,يوجد تراكم قمامة في شارع النزهة
343,86,بلاغ عن تراكم قمامة في شارع النزهة
344,86,تم رصد تراكم قمامة في شارع النزهة
345,87,بالوعة مفتوحة في شارع مكرم عبيد
346,87,يوجد بالوعة مفتوحة في شارع مكرم عبيد
347,87,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
348,87,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
349,88,تشققات بالطريق في شارع مصطفى النحاس
350,88,يوجد تشققات بالطريق في شارع مصطفى النحاس
351,88,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
352,88,تم رصد تشققات بالطريق في شارع مصطفى النحاس
353,89,عمود إنارة مائل في مدينة السلام
354,89,يوجد عمود إنارة مائل في مدينة السلام
355,89,بلاغ عن عمود إنارة مائل في مدينة السلام
356,89,تم رصد عمود إنارة مائل في مدينة السلام
357,90,تسرب غاز في المعادي
358,90,يوجد تسرب غاز في المعادي
359,90,بلاغ عن تسرب غاز في المعادي
360,90,تم رصد تسرب غاز في المعادي
361,91,حفرة في شارع عباس العقاد
362,91,يوجد حفرة في شارع عباس العقاد
363,91,بلاغ عن حفرة في شارع عباس العقاد
364,91,تم رصد حفرة في شارع عباس العقاد
365,92,كسر ماسورة مياه في شارع الطيران
366,92,يوجد كسر ماسورة مياه في شارع الطيران
367,92,بلاغ عن كسر ماسورة مياه في شارع الطيران
368,92,تم رصد كسر ماسورة مياه في شارع الطيران
369,93,عمود إنارة معطل في مدينة نصر
370,93,يوجد عمود إنارة معطل في مدينة نصر
371,93,بلاغ عن عمود إنارة معطل في مدينة نصر
372,93,تم رصد عمود إنارة معطل في مدينة نصر
373,94,طفح صرف صحي في عين شمس
374,94,يوجد طفح صرف صحي في عين شمس
375,94,بلاغ عن طفح صرف صحي في عين شمس
376,94,تم رصد طفح صرف صحي في عين شمس
377,95,إشارة مرور معطلة في جسر السويس
378,95,يوجد إشارة مرور معطلة في جسر السويس
379,95,بلاغ عن إشارة مرور معطلة في جسر السويس
380,95,تم رصد إشارة مرور معطلة في جسر السويس
381,96,تراكم قمامة في شارع النزهة
382,96,يوجد تراكم قمامة في شارع النزهة
383,96,بلاغ عن تراكم قمامة في شارع النزهة
384,96,تم رصد تراكم قمامة في شارع النزهة
385,97,بالوعة مفتوحة في شارع مكرم عبيد
386,97,يوجد بالوعة مفتوحة في شارع مكرم عبيد
387,97,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
388,97,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
389,98,تشققات بالطريق في شارع مصطفى النحاس
390,98,يوجد تشققات بالطريق في شارع مصطفى النحاس
391,98,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
392,98,تم رصد تشققات بالطريق في شارع مصطفى النحاس
393,99,عمود إنارة مائل في مدينة السلام
394,99,يوجد عمود إنارة مائل في مدينة السلام
395,99,بلاغ عن عمود إنارة مائل في مدينة السلام
396,99,تم رصد عمود إنارة مائل في مدينة السلام
397,100,تسرب غاز في المعادي
398,100,يوجد تسرب غاز في المعادي
399,100,بلاغ عن تسرب غاز في المعادي
400,100,تم رصد تسرب غاز في المعادي
